Q1003578,"Franklin Saunders","British flying ace"
Q100571997,"Jea Maracha",gymnast
Q100574386,"Amelia Thomas",gymnast
Q100574445,"Gabriella Williams",gymnast
Q100574744,"Mia Evans",gymnast
Q100574783,"Poppy Stickler",gymnast
Q100574789,"Ruby Evans",gymnast
Q100984306,"Julie Thomas","Welsh para-bowler"
Q102292573,"Elin Williams","Welsh disability blocker (blurred vision)"
Q1029131,"Camille Butcher","French singer and opera singer"
Q10292656,"Gwenog Jones",
Q10314880,"Kyle Redmond-Jones","British actor"
Q104212463,"Eurwyn Pierce Jones","Welsh author"
Q104212466,"Eurwyn Lloyd Evans","Welsh author"
Q104450557,"Zadeiah Campbell-Davies","Welsh actress"
Q104544505,"Eric Williams","motorcycle driver"
Q104545709,Q104545709,
Q104609044,"Thaer Al-Shayei","Welsh actor"
Q1046824,"David Sullivan","Welsh businessman"
Q104945292,"Adelaide Eyre",1826–1905
Q105078131,Trinio,"Welsh saint"
Q105080581,"Ffion Davies","Welsh Grappler"
Q1055273,"Cerith Wyn Evans","Welsh artist"
Q105577325,"John Adams","Welsh naturalist and conchologist (1769–1798)"
Q10567797,"Desmond Brayley, Baron Brayley","English Baron (1917-1977)"
Q105713082,"Poppy Soper",
Q105719041,"Nieve Jenkins",
Q105719042,"Deanna Lewis",
Q105719043,"Brooke Llewellyn",
Q105719046,"Jemma Parfitt",
Q105719047,"Jessica Williams",
Q105719048,"Kelly Adams",
Q105719049,"Lauryn Lyons",
Q105719050,"Kate Searle",
Q105719051,"Phoebe Ware",
Q105719055,"Jasmine Guymer",
Q105721825,"Lucy Attwood",
Q105721828,"Olivia Barnett",
Q105721829,"Ellie Gunney",
Q105721830,"Kate La Cumbre",
Q105721831,"Ava Suckley",
Q105722254,"Rebecca Halford",
Q105821038,"Cai Tomos","Independent dance artist"
Q106104065,"Phil Obbard","Welsh darts player"
Q106192317,"Mikey Rees","Welsh professional darts player"
Q106193079,"Byron Wozencraft","Welsh darts player"
Q106193204,"John Corfe","Welsh professional darts player"
Q106193220,"Dyfri Jones","Welsh professional darts player"
Q106193530,"Paul Linwood","Welsh professional darts player"
Q106193983,"Terry James","Welsh professional darts player"
Q106194128,"Liam Meek","Welsh darts player"
Q106201505,"Cavan Phillips","Welsh darts player"
Q106201762,"Justin Smith","Welsh professional darts player"
Q106204495,"Brian Lashbrook","Welsh darts player"
Q1063350,Gwynllyw,"Welsh sovereign (c. 450-500)"
Q1063535,"Charles Green","Archbishop of Wales and Bishop of Bangor; Bishop of Monmouth"
Q106364026,"Kerin Lake","Welsh rugby union player"
Q106367430,"Jade Knight","Welsh rugby union player"
Q106421024,"Dai Games","Welsh chemist"
Q106455967,"Elinor Jones","Welsh television presenter"
Q106465167,"Alisha Butchers","Welsh rugby union player"
Q106492696,"Gwenllian Pyrs","Welsh rugby union player"
Q106496101,"Robyn Wilkins","Welsh rugby union player"
Q106645035,"Shaquille Wynter-Coles",
Q106890583,"Gareth W. Williams","Welsh author"
Q107030781,"Mali Tudno Jones","Welsh actress"
Q107031300,"Mared Jarman","Welsh actress"
Q107033474,"Hanna Jarman","Welsh actor, director and scriptwriter"
Q107094503,"Christopher Williams","Welsh pianist"
Q107207795,"Gerald Williams","Farmer and nephew of Hedd Wyn who preserved Yr Ysgwrn farm"
Q107212477,"Megan Davies","Welsh Rugby Union player"
Q107235346,"Gareth Jones","Welsh golfer"
Q107244824,"Gavin Bilton","Welsh strongman"
Q107370884,"Wyn Jones","Welsh musician and record producer"
Q107485959,"Edward Robarts",
Q107583041,"Miggs Wynne Morris","Welsh-Canadian schoolteacher and principal"
Q107697068,"Richard Jones","Welsh musician and composer"
Q107713652,"Ancr Llanddewibrefi","scribe of 'Llyfr Ancr Llanddewibrefi' (Book of the Anchorite of Llanddewibrefi)"
Q1077808,"Chris Type","British skeleton racer"
Q107969638,"Tom Jones","trade unionist and Spanish Civil War veteran"
Q108115703,"Hefin Elis","Welsh musician, composer and record producer"
Q1082835,"Peter Wingfield","British actor"
Q108410990,"Ifan Dafydd",
Q108678888,"Thomas William Jones","lifeboat hero of the RMS Titanic disaster"
Q108686038,"Robert Owen Williams","Welsh poet (1937–2021)"
Q1087011,"Christopher Timothy","British actor"
Q108701773,"Glenys Mair Glyn Roberts","Welsh Poet"
Q1088014,"Saint Tewdrig","Welsh saint and king"
Q1088027,Vortiporius,"Welsh sovereign"
Q1088032,"Llywelyn Bren","Welsh noble"
Q109310284,"Gruffydd ap Llywelyn ap Phylip ap Trahaearn","Patron of Llyfr Ancr Llanddewibrefi"
Q10965002,"Gwladus ferch Senana","Welsh princess"
Q10969182,"Gwyn Griffiths","British writer, translator and journalist"
Q10970620,"Nigel Jenkins","Anglo-Welsh poet"
Q10982897,"William Williams","Welsh veterinary surgeon"
Q10994531,"Marged ferch Ifan","Welsh harpist and wrestler"
Q10995139,"Afan Ferddig","7c Welsh poet"
Q11001414,"Huw Garmon","Welsh actor"
Q11009742,"Gruffudd ap Cynan ab Owain Gwynedd","Grandson of Owain Gwynedd"
Q11017673,"Humphrey Owen Jones","Welsh chemist and mountaineer"
Q11063761,"Dafydd Huws","Welsh author"
Q11129881,"Ernest Willows","Welsh aviator"
Q11162843,"Jonathan Morgan","British politician (born 1974)"
Q1118055,"Sydenham Edwards","Welsh botanist, author, editor, and scientific illustrator (1768-1819)"
Q111840,"Carwyn Jones","former First Minister of Wales (born 1967)"
Q11193133,"Rowena Hill","Welsh poet"
Q1120124,"Elidyr Llydanwyn",
Q11208643,"Thomas Tudor","land agent and artist (1785-1885)"
Q11246040,"Ralph Hancock","English cricketer (1887-1914)"
Q11280238,"Beriah Gwynfe Evans","British politician"
Q1130431,"Grace Williams","Welsh composer (1906-1977)"
Q1157156,"Dafydd ap Llywelyn","13th-century Welsh monarch"
Q1160939,"Daniel Granville West, Baron Granville-West","British politician (1904-1984)"
Q1161262,"Daniel Jones","Welsh composer"
Q116496,"Michael Bogdanov","British theatre director"
Q11685219,"John Stone","Welsh actor (1924-2007)"
Q1173794,"David Bowen","British forensic pathologist"
Q1173795,"David Bower","British actor"
Q1174338,"David Emanuel","Welsh fashion designer"
Q1176710,"David Stanley Evans","British astronomer"
Q1177203,"David Williams","Welsh mathematician who works in probability theory"
Q11801889,"Richard Williams","Welsh soldier and courtier, born c. 1510"
Q1181577,"Deborah Kay Davies","Welsh writer"
Q1183309,"Deiniol Jones","Welsh rugby union player"
Q1183310,Deiniol,"Welsh saint, first bishop of Bangor"
Q11833942,"Rebecca Rowe","British rower"
Q118542,"Nicholas A'Hern","Australian racewalker"
Q11880868,"Mari Strachan","Welsh writer"
Q1189996,"James Fox","British singer"
Q1195620,"Aled Eames","historian and author, mostly Welsh maritime history"
Q11964288,"Cyril Jenkins","Welsh musician"
Q1200134,"Derek Vaughan","British politician (born 1961)"
Q12072266,"Henry Vivian, 1st Baron Swansea","British politician and Baron"
Q12072959,"Morgan Williams","New Zealand politician"
Q1209771,"Dick Richardson","Welsh heavyweight boxer"
Q12162082,"Darran Smith",
Q121734,"Thomas Picton","Welsh general who served in the British Army (1758-1815)"
Q1225513,"Dill Jones","Welsh pianist"
Q1240231,"Donald Peers","British singer (1908-1973)"
Q1240482,"Donald Davies","British computer scientist"
Q12407875,"Hugh Holland","Welsh writer"
Q1247700,"Clive Merrison","Welsh actor"
Q1249040,"Richard Maybery","British flying ace"
Q1249867,"Roland Jones","association football referee"
Q1255546,"Samuel Parry","First World War pilot"
Q1257097,"Mark Rowlands","British philosopher"
Q1261083,"William Herbert, 1st Earl of Pembroke","English peer of the 15th century"
Q1267203,"Gwyneth Glyn","Welsh poet and musician"
Q1269091,"Samson of Dol","Welsh saint who settled down in Brittany (c. 485 — c. 565)"
Q1273470,"E. Brian Davies","British mathematician"
Q12794838,"Lewis Henry Owain Pugh","Welsh soldier"
Q12795056,"Llewellyn Isaac Gethin Morgan-Owen","British general"
Q1281133,Tudwal,"Medieval bishop"
Q12814478,"Gwyn Pierce Owen",
Q1292893,"Edward Lord",
Q1293017,Tysilio,"Welsh bishop, prince and scholar"
Q1293238,"George Noakes","British bishop"
Q12988572,"Lynne Thomas",cricketer
Q1306352,"Stanley Baker","Welsh actor and film producer (1928-1976)"
Q13107212,"Jones Hewson","Welsh singer and actor"
Q13125418,Alban,"bishop of Bangor, Wales"
Q13125438,"Aled Pugh","Welsh actor"
Q13125439,"Aled Rhys Hughes","Welsh photographer"
Q13125440,"Aled Rhys Wiliam","Welsh poet and broadcaster"
Q13125546,"Anthony Campbell",biochemist
Q13125580,"Arfon Gwilym","Welsh singer"
Q13125586,"Arfon Wyn","Welsh singer"
Q13125609,"Arthur o Enlli",
Q13125995,"Beryl Williams","Welsh actress (1937-2004)"
Q13126322,"Bryan Martin Davies","teacher and poet"
Q13127767,"Dafydd ab Owain","Bishop of St Asaph"
Q13127814,"David Ffrangcon-Davies","Welsh operatic baritone"
Q13127823,"David Miall Edwards","Welsh Non-conformist writer and theologian"
Q13127839,Deiniolen,"6th c. Welsh saint"
Q13127926,Dona,
Q13128018,"Dyfnallt Morgan","poet, literary critic and translator"
Q13128086,"Edward David Hughes","Welsh organic chemist"
Q13128095,"Efa ferch Madog","Welsh princess of Powys of the 12th century"
Q13128263,"Emyr Price",
Q13128265,"Emyr Wyn","Welsh actor and singer"
Q13128266,"Emyr Lewis","Solicitor, academic and poet"
Q13128270,Enghenedl,"Welsh 6c saint"
Q13128322,"Evan Jones","Welsh journalist and poet"
Q13128331,"Evan Evans","Welsh poet, hymn writer and Anglican priest"
Q13128333,"Evan Jenkin Evans","Welsh physicist and university professor"
Q13128575,"Garry Owen","Welsh journalist and broadcaster"
Q13128619,"Geraint Jarman","Welsh musician and poet"
Q13128625,"Geraint Griffiths","Welsh singer-songwriter, actor"
Q13128682,"Golyddan Fardd","Welsh poet"
Q13128776,"Gronw ap Tudur","Welsh rebel, supporter of Owain Glyndŵr"
Q13128777,"Gronw Ddu o Fôn","Welsh poet, held by tradition to have existed"
Q13128778,"Gruffudd Bola","Welsh writer in Latin"
Q13128780,"Gronw Ddu","Welsh poet"
Q13128784,"Gruffydd Young","Bishop of Ross"
Q13128785,"Gruffudd ab Ednyfed","Courtier in Gwynedd"
Q13128793,"Gruffudd ap Maredudd ap Bleddyn",-1128
Q13128794,"Gruffudd ap Nicolas","Welsh landowner and patron"
Q13128801,"Gruffudd ap Gwrgenau","Welsh poet"
Q13128891,"Gwyn Elfyn","Welsh actor"
Q13128896,Gwynhoedl,
Q13128901,Gwynin,
Q13128907,Gwytherin,"6th c. Welsh saint"
Q13129026,"Heledd Cynwal","Welsh television presenter"
Q13129028,"Hywel Heilyn","Welsh poet"
Q13129092,Hillyn,"14c Welsh poet"
Q13129159,"Hugh Evans","Welsh author and publisher (1854-1934)"
Q13129177,"Hugh Hughes","Welsh colonist in Patagonia"
Q13129190,"Huw Chiswell","Welsh singer, musician and television director/producer"
Q13129199,"Huw Llywelyn Davies","Welsh broadcaster"
Q13129201,"Huw Edwards","Welsh journalist"
Q13129206,"Huw Stephens","Welsh broadcaster"
Q13129216,Hywyn,"Welsh saint"
Q13129231,Idloes,"Welsh saint"
Q13129239,"Iestyn Garlick","Welsh actor, producer and television presenter"
Q13129265,"Iorwerth ab y Cyriog","Welsh poet"
Q13129267,"Iolo Ceredig Jones","British chess player"
Q13129276,"Isaac Carter","Welsh printer and publisher"
Q13129281,"Isaac Foulkes","Welsh journalist, author and publisher"
Q13129299,"Jane Hughes","Welsh poet"
Q13129300,"Jane Cave","Welsh poet writing in English"
Q13129342,"John Parry","Welsh teacher and editor"
Q13129344,"John Robert Pryse","Welsh poet, called Golyddan"
Q13129360,"John Rowlands","Royal Air Force air marshals"
Q13129361,"John Williams","Welsh antiquary and Anglican priest"
Q13129369,"Josiah Thomas Jones","Welsh dissenting minister, radical author and publisher"
Q13129493,"Laura Anne Jones","British politician (born 1979)"
Q13129533,"Lewis Davies","Welsh novelist and local historian"
Q13129535,"Lewis William Lewis","Welsh poet"
Q13129536,"Lewis Caerleon","physician to Elizabeth , widow of Edward IV , Margaret Countess Richmond and Henry Tudor"
Q13129679,Llechid,"Welsh, 6th c. saint"
Q13129861,"Mab Clochyddyn","Welsh poet"
Q13129868,"Madog Benfras","Welsh poet"
Q13129889,"Magi Dodd","Welsh radio presenter"
Q13129962,"Martin Davis",
Q13130110,Melyd,"female Welsh saint"
Q13130283,"Muriel Drinkwater",WHY?
Q13130336,"Myron Wyn Evans","Welsh chemist"
Q13130360,"Nerys Hughes","British actress"
Q13130555,"Owen Gruffydd","Welsh poet"
Q13130556,"Owen Williams","Welsh poet and antiquarian"
Q13130598,Peblig,"Welsh 4th c. saint"
Q13130737,"Peter Jones","Welsh poet, born 1775"
Q13130915,"R. Gerallt Jones","Welsh author"
Q13130916,"Ronald Lockley","Welsh naturalist and author"
Q13131118,"Robyn Léwis","Welsh barrister, author and former Archdruid"
Q13131119,"Robin Williams","British writer"
Q13131210,"Sarah Jacob","Welsh supposed anorexic"
Q13131449,"Sian Owen","Welsh author"
Q13131794,Teulyddog,"7c Welsh saint"
Q13131853,"Thomas James Jenkin","Welsh botanist (1885-1965)"
Q13131857,"Thomas Evan Nicholas","British writer"
Q13131864,"Thomas Williams","British poet and novelist, born 1848"
Q13131866,"Thomas Williams","Welsh poet. born 1778"
Q13132095,"Saint Tybie","5th century female Welsh saint"
Q13132101,Tyfaelog,"early Welsh saint"
Q13132128,Ulo,"Welsh saint"
Q13132175,"Vaughan Roderick",
Q13132177,"Vernon Jones","Welsh poet"
Q13132363,"William Morris","Welsh botanist and antiquary (1705-1763)"
Q13132364,"William Spurrell","Welsh printer"
Q13132713,"Zonia Bowen","author and free-thinker"
Q13157452,"J. E. Caerwyn Williams","British scholar"
Q13218562,"David Griffiths","botanist (1867-1935)"
Q13231953,"Neil A. Oakman","British naturalist, botanist, taxonomist and horticulturist"
Q1327859,Elen,"wife of Macsen Wledig (Magnus Maximus) who brought the ideas of Martin of Tours to Wales"
Q1331217,"Elizabeth Griffith","Welsh-Irish writer"
Q1338420,"Thomas Button","Royal Navy officer and explorer"
Q13403835,Maël,"Breton saint"
Q13405416,"Einir Dafydd","Welsh singer"
Q13405418,"Bryn Fôn","Welsh actor and singer-songwriter"
Q13416998,"Catrin Collier","Welsh novelist"
Q1351086,"Eric Barnes","Australian mathematician"
Q13522489,"John Rice Jones","American politician"
Q13522522,"Hugh Schofield","television journalist"
Q13563004,"Gillian Gill",
Q1356371,"Ernest Howard Griffiths","British physicist"
Q13581065,"Jamie Jones","DJ, producer"
Q13583800,"Hugh Price Hughes","Welsh Methodist reformer"
Q13616740,"John T. Lewis","Welsh mathematician and academic"
Q13635446,"Grahame Davies","British writer"
Q13637417,"Ian Jeremiah","Racing cyclist"
Q13638382,"Iolo Williams","Welsh zoologist, television presenter and writer"
Q13639581,"John Ceiriog Hughes","Welsh poet"
Q13643306,"Leslie Norris","British writer"
Q13643406,"Lewys Daron","Welsh poet"
Q13645303,"Lucy Christopher",author
Q1371735,"Julian Cope","Welsh musician, author, antiquarian, musicologist, poet and cultural commentator"
Q1379647,"Evan Evans","Welsh mechanical engineer in Saxony"
Q1379655,"Evan James Williams","Welsh physicist"
Q1380953,"John Bufton","British politician (born 1962)"
Q1381003,"Rhys ap Tewdwr","Welsh prince"
Q1381454,"Gomer Edwin Evans","British songwriter"
Q1391397,"Steve Jones","Welsh geneticist and biologist"
Q1396040,"Sue Jones-Davies","Welsh singer and actor"
Q1397946,"Lewis Bayly","British bishop"
Q1401068,"Beli ap Eiludd","King of Powys"
Q1401080,"Manwgan ap Selyf","King of Powys"
Q1404569,"Gareth Jenkins","Welsh rugby union footballer and coach"
Q1405258,"Jamie Oliver","British musician"
Q1405477,"Robert Griffiths","General secretary of the Communist Party of Britain (born 1952)"
Q1407544,"Stuart Richardson","British musician"
Q1410339,Fflur,"mythological bride of Cassivellaunus"
Q14159639,"Heather Jones","Welsh singer"
Q1422009,"Valerie Davies","Welsh swimmer, Olympic bronze medallist"
Q1423984,"Lee Williams","Welsh actor and former model"
Q1427818,"Kai Owen","British actor"
Q1428289,"Steve Speirs","Welsh actor"
Q1428717,"Matthew Rowe","Welsh cyclist"
Q1432739,"Roy Evans","Welsh table tennis player"
Q1434699,"Llywarch Hen","Prince of the Brythonic kingdom of Rheged"
Q14420732,"Rhun ap Iorwerth","British politician, AM and journalist"
Q14476341,"Terwyn Davies","TV presenter"
Q14476852,"Thomas Jones","British Methodist clergyman, writer, editor and poet"
Q14480365,"William Ambrose","Welsh independent minister, poet, and littérateur (1813-1873)"
Q14508446,"Aled Jones Williams","priest of the Church in Wales, writer and playwright"
Q14508658,"Myrddin ap Dafydd","Welsh editor and writer"
Q14593035,"Isaac D. Seyburn","United States Navy officer"
Q1463642,"Wallace Smart",
Q1475708,"Michael Kerstgens","British artist and photographer"
Q14918258,"John Lloyd","Welsh Jesuit missionary to England and Wales, Roman Catholic martyr"
Q1493339,"Pete Ham","Welsh singer, songwriter and guitarist"
Q14945645,"J. D. Davies","historian and author"
Q14945665,"John Mason","British historian, born 1920"
Q14945674,"Emlyn Rhoderick","Welsh physicist"
Q14946841,"Mark Evans","British actor and comedy writer"
Q15008212,"Dafydd Bullock","Welsh composer"
Q1502967,"Geoffrey Eglinton","British chemist"
Q15052584,"Martin Daunton",historian
Q15054657,"John Lasarus Williams",
Q1507413,"Mary Fulbrook","British historian"
Q1507985,"George Nevill, 5th Baron Bergavenny","English courtier, born in Wales (1469-1535)"
Q15109565,"Leslie Gilbert Illingworth","Welsh political cartoonist and illustrator"
Q1517534,"John Rees","Welsh actor (1927-1994)"
Q15244394,"Griffith Williams","Welsh poet, called Gutyn Peris"
Q152720,"David Griffith","Welsh poet"
Q1528561,"Ivor Bulmer-Thomas","British journalist (1905-1993)"
Q1530769,"Glen Garfield Williams","British theologian"
Q1534270,Goewin,
Q1536928,"Richard Bell","politician (1859-1930)"
Q15378630,"Thomas Davis","Welsh Union Army officer in the American Civil War, recipient of the Medal of Honor"
Q15378641,"Joseph Davis","Medal of Honor recipient"
Q1538550,"Howard Saint","British flying ace"
Q1538588,"Hubert Jones","British flying ace"
Q1541902,"Graham Bool","British photographer"
Q15428968,"Dean Gratton","British author and columnist"
Q15429403,"John Vaughan","British cavalry officer"
Q1543275,"Granville Beynon","Welsh physicist"
Q15434762,"Jack Livesey","Welsh actor (1901-1961)"
Q15446774,"Ian Hamilton","British-Canadian writer"
Q15447289,"Chris Hann","British anthropologist and ethnologist"
Q15452420,"Louis Barnett Abrahams","Welsh-born, English Jewish educator"
Q15453116,"Michael Shepherd","British psychiatrist"
Q15453717,"Charles Wynford Parsons","British zoologist"
Q15454409,"Myfanwy Haycock","British writer"
