Q100154,"Emmy Klieneberger-Nobel","German Jewish microbiologist"
Q102029,"Eric Fraser","British illustrator and graphic artist"
Q102527,"Robert Falcon Scott","Royal Navy officer and explorer"
Q105357,"Gerd Buchdahl","German philosopher"
Q106178,"Richard Schomburgk","German-Australian botanist (1811-1891)"
Q106618,"Henry Campbell-Bannerman","former Prime Minister of the United Kingdom (1836-1908)"
Q106740,"Dorothy L. Sayers","English crime writer, playwright, essayist and Christian writer"
Q109373,"Hilde Himmelweit","German-British psychologist"
Q110697,"Elsbeth Juda","British photographer"
Q110869,"William Lassell","British astronomer"
Q112988,"Mary Boyce","British scholar"
Q113518,"Thomas Baines","British expedition artist (1820-1875)"
Q113681,"Israel Zangwill","British writer"
Q114528,"Alfred Fentiman","British bicycle racer"
Q115371,"Edwin Arnold","British poet and journalist"
Q115477,"Louise Mountbatten","Queen consort of Sweden"
Q115649,"Charles Carrington","British publisher of erotica"
Q116062,"Princess Alice of Battenberg","(1885-1969); mother of Prince Philip, Duke of Edinburgh"
Q116133,"Margaret Yorke","English writer"
Q116728,"Victoria, Princess Royal","princess of the United Kingdom and Empress of Germany (1840-1901)"
Q116747,"William Pleeth","British cellist"
Q117026,"Thomas Neill Cream","Scottish-Canadian serial killer"
Q117174,"Prince Henry, Duke of Gloucester","British soldier and Governor-General of Australia (1900-1974)"
Q117345,"Barbara Euphan Todd","British writer"
Q117443,"Peter Skene Ogden","British-Canadian fur trapper and explorer"
Q118314,"Julius Dreschfeld","German-British physician and pathologist"
Q119818,"Bernard Quaritch","British bookseller and publisher"
Q121734,"Thomas Picton","Welsh general who served in the British Army (1758-1815)"
Q121838,"Joseph Aspdin","British mason, bricklayer and inventor"
Q122127,"Michael Bond","English author, creator of Paddington the Bear"
Q122701,"William Thomson, 1st Baron Kelvin","British physicist and engineer (1824-1907)"
Q122721,"John Conolly","English psychiatrist"
Q122756,"Alexander Marcet","Genevan and British physician"
Q122851,"George Edwin Ellison",soldier
Q123098,"Angelica Kauffmann","Swiss-Austrian painter (1741-1807)"
Q124937,"Wilhelm Philipp Daniel Schlich","English forester"
Q125057,"Richard Francis Burton","British explorer, geographer, translator, writer, soldier, orientalist, cartographer, ethnologist, spy, linguist, poet, fencer, and diplomat"
Q125084,"John Hanning Speke","British military officer and explorer"
Q125369,"William Foulke","English footballer (1874-1916)"
Q125819,"Eric Laithwaite","electrical engineer"
Q126596,"William Hazlitt","English writer (1778-1830)"
Q126672,"Harold Ridley","British ophthalmologist"
Q127010,"Sir Thomas Metcalfe, 4th Baronet","East India Company administrator"
Q127073,"Edward Collingwood","Fellow of the Royal Society FRSE, mathemetician, and scientist"
Q127235,"Francis Edward Bache","British composer"
Q127318,"George III of Great Britain","King of Great Britain and King of Ireland (1738-1820)"
Q127332,"Charlotte Brontë","English novelist and poet"
Q127638,"Reginald Doherty","English tennis player"
Q127779,"Christopher Kelk Ingold","British chemist"
Q127959,"Norman Lockyer","scientist and astronomer from Britain"
Q1282706,"Jasper Ridley","British historian and politician"
Q1282813,"Eddie Hapgood","English footballer and manager (1908-1973)"
Q1282912,"Patrick O'Donnell","Catholic cardinal"
Q1283015,"Eddie Turnbull","Scottish footballer and manager (1923-2011)"
Q128336,"William Bentinck, 4th Duke of Portland","English noble & ancestor of the Queen Mother"
Q128341,"Charles Cavendish-Bentinck","great-grandfather of Queen Elizabeth II of the United Kingdom"
Q128343,"Lord Charles Bentinck","British politician (1780-1826)"
Q1283716,"William Gully, 1st Viscount Selby","British politician (1835-1909)"
Q1283809,"Edgar Brenchley","ice hockey player"
Q128409,"Richard Seifert","Swiss-British architect"
Q1284217,"Edgar Percival","Australian pilot and aircraft designer"
Q1284218,"Edgar Whitehead","Prime Minister of Rhodesia (1905-1971)"
Q128459,"John Whitton","Australian railway engineer"
Q1284959,"Edith Ditmas","Archivist, historian, and writer"
Q1285141,"Edith Woodford-Grimes","an English Wiccan who achieved notoriety as one of the faith's earliest known adherents"
Q1285498,"Hormuzd Rassam","Iraqi archaeologist"
Q128554,"Richard William Howard Vyse","British soldier and politician, anthropologist and egyptologist (1784-1853)"
Q128576,"Lady Diana Cooper","English social figure, actress and memoirist, editor"
Q1285954,"Edmund Arrowsmith","Lancaster Jesuit priest; one of the Forty Martyrs of England and Wales"
Q1285985,"Edmund Musgrave Barttelot","British Army officer"
Q1285989,"Edmund Beale Sargant","British colonial administrator"
Q1286149,"Frederick William Faber","British hymn writer and theologian"
Q1286158,"Edmund Montgomery","Physician, philosopher, scientist, husband of Elisabet Ney"
Q1286297,"Edmund Garratt Gardner","British historian"
Q1286470,"Frederick Broome","colonial administrator (1842-1896)"
Q1286610,"Edmund Marriner Gill","English painter, 1820-1894"
Q1286904,"Walter Duranty","American journalist"
Q1287009,"Edmund de Unger","Hungarian art collector"
Q1287644,"Edric Bastyan","Governor of South Australia and Tasmania"
Q1287924,"Edith Maude Hull","British writer"
Q1287986,"Mary Emily Eaton","British botanical illustrator"
Q1287990,"James Legge","missionary in China"
Q1288021,"Henry Burney","British soldier, diplomat and commercial traveller, 1792-1845"
Q1288248,"John Sell Cotman","British artist (1782-1842)"
Q1288644,"Ernest William Hornung","British writer"
